,News Channel,Date,Compound,Positive,Neutral,Negative,Tweets Ago
210,@BBCNews,Wed Mar 07 19:20:27 +0000 2018,-0.34,0.195,0.519,0.286,11
211,@BBCNews,Wed Mar 07 18:09:26 +0000 2018,-0.4939,0.0,0.811,0.189,12
212,@BBCNews,Wed Mar 07 17:46:24 +0000 2018,-0.6908,0.0,0.749,0.251,13
213,@BBCNews,Wed Mar 07 17:38:13 +0000 2018,-0.6908,0.0,0.657,0.343,14
214,@BBCNews,Wed Mar 07 17:05:03 +0000 2018,0.128,0.23,0.576,0.194,15
215,@BBCNews,Wed Mar 07 16:54:42 +0000 2018,0.0,0.0,1.0,0.0,16
216,@BBCNews,Wed Mar 07 16:53:22 +0000 2018,-0.1531,0.148,0.656,0.197,17
217,@BBCNews,Wed Mar 07 16:43:33 +0000 2018,0.0,0.0,1.0,0.0,18
218,@BBCNews,Wed Mar 07 16:42:13 +0000 2018,-0.8176,0.0,0.691,0.309,19
219,@BBCNews,Wed Mar 07 16:26:59 +0000 2018,-0.8625,0.0,0.625,0.375,20
220,@BBCNews,Wed Mar 07 22:36:52 +0000 2018,0.0,0.0,1.0,0.0,21
221,@BBCNews,Wed Mar 07 22:36:16 +0000 2018,0.0,0.0,1.0,0.0,22
222,@BBCNews,Wed Mar 07 22:35:39 +0000 2018,-0.4939,0.0,0.802,0.198,23
223,@BBCNews,Wed Mar 07 22:34:43 +0000 2018,-0.4939,0.0,0.824,0.176,24
224,@BBCNews,Wed Mar 07 22:16:54 +0000 2018,-0.5719,0.0,0.764,0.236,25
225,@BBCNews,Wed Mar 07 22:15:30 +0000 2018,-0.4939,0.0,0.802,0.198,26
226,@BBCNews,Wed Mar 07 22:15:07 +0000 2018,-0.4939,0.0,0.802,0.198,27
227,@BBCNews,Wed Mar 07 22:14:47 +0000 2018,-0.1027,0.115,0.747,0.138,28
228,@BBCNews,Wed Mar 07 22:14:22 +0000 2018,0.0,0.0,1.0,0.0,29
229,@BBCNews,Wed Mar 07 19:25:19 +0000 2018,-0.6369,0.0,0.656,0.344,30
230,@BBCNews,Wed Mar 07 19:20:27 +0000 2018,-0.34,0.195,0.519,0.286,31
231,@BBCNews,Wed Mar 07 18:09:26 +0000 2018,-0.4939,0.0,0.811,0.189,32
232,@BBCNews,Wed Mar 07 17:46:24 +0000 2018,-0.6908,0.0,0.749,0.251,33
233,@BBCNews,Wed Mar 07 17:38:13 +0000 2018,-0.6908,0.0,0.657,0.343,34
234,@BBCNews,Wed Mar 07 17:05:03 +0000 2018,0.128,0.23,0.576,0.194,35
235,@BBCNews,Wed Mar 07 16:54:42 +0000 2018,0.0,0.0,1.0,0.0,36
236,@BBCNews,Wed Mar 07 16:53:22 +0000 2018,-0.1531,0.148,0.656,0.197,37
237,@BBCNews,Wed Mar 07 16:43:33 +0000 2018,0.0,0.0,1.0,0.0,38
238,@BBCNews,Wed Mar 07 16:42:13 +0000 2018,-0.8176,0.0,0.691,0.309,39
239,@BBCNews,Wed Mar 07 16:26:59 +0000 2018,-0.8625,0.0,0.625,0.375,40
240,@BBCNews,Wed Mar 07 15:34:32 +0000 2018,-0.7351,0.093,0.467,0.44,41
241,@BBCNews,Wed Mar 07 15:32:46 +0000 2018,0.68,0.374,0.476,0.15,42
242,@BBCNews,Wed Mar 07 15:23:44 +0000 2018,0.4215,0.141,0.859,0.0,43
243,@BBCNews,Wed Mar 07 15:04:32 +0000 2018,-0.7579,0.0,0.581,0.419,44
244,@BBCNews,Wed Mar 07 14:48:12 +0000 2018,0.0,0.0,1.0,0.0,45
245,@BBCNews,Wed Mar 07 14:40:59 +0000 2018,-0.5106,0.0,0.784,0.216,46
246,@BBCNews,Wed Mar 07 14:29:37 +0000 2018,0.0,0.0,1.0,0.0,47
247,@BBCNews,Wed Mar 07 14:15:10 +0000 2018,-0.34,0.0,0.866,0.134,48
248,@BBCNews,Wed Mar 07 14:00:58 +0000 2018,0.1531,0.151,0.849,0.0,49
249,@BBCNews,Wed Mar 07 13:56:11 +0000 2018,-0.0516,0.0,0.854,0.146,50
250,@BBCNews,Wed Mar 07 13:42:28 +0000 2018,-0.296,0.0,0.804,0.196,51
251,@BBCNews,Wed Mar 07 13:28:11 +0000 2018,-0.5904,0.0,0.701,0.299,52
252,@BBCNews,Wed Mar 07 13:03:48 +0000 2018,0.8519,0.383,0.617,0.0,53
253,@BBCNews,Wed Mar 07 12:44:34 +0000 2018,-0.8442,0.097,0.502,0.401,54
254,@BBCNews,Wed Mar 07 12:43:18 +0000 2018,-0.296,0.0,0.732,0.268,55
255,@BBCNews,Wed Mar 07 12:39:59 +0000 2018,0.0,0.0,1.0,0.0,56
256,@BBCNews,Wed Mar 07 12:28:17 +0000 2018,-0.6249,0.0,0.814,0.186,57
